node	ref	book	ph_type	text	token	clause	classi	time	time_etcbc	time_pos	time_pl	time_sffx	preposition	leading_prep	trailing_prep	tokenized_prep	extended_prep	bare	øanchor	genitive	definite	quantified	quant_str	cardinal	qualitative	qual_str	demonstrative	demon_str	demon_dist	ordinal	ord_str	cl_kind	verb	tense	verb_lex
1446816	Gen 4:25	Genesis	cont	עֹוד֙ 	עוד	וַיֵּ֨דַע אָדָ֥ם עֹוד֙ אֶת־אִשְׁתֹּ֔ו 	single.bare.øanchor	עוד	<WD/	subs	False	False	False				False	True	True	False	False	False		False	False		False			False		VC	True	wyqtl	ידע
1446817	Gen 4:26	Genesis	cont	אָ֣ז 	אז	אָ֣ז הוּחַ֔ל 	single.bare.øanchor	אז	>Z	advb	False	False	False				False	True	True	False	False	False		False	False		False			False		VC	True	qtl	חלל
1446818	Gen 5:1	Genesis	prep_ph	בְּיֹ֗ום בְּרֹ֤א אֱלֹהִים֙ אָדָ֔ם 	ב.יום.ברא.אלהים.אדם	בְּיֹ֗ום בִּדְמ֥וּת אֱלֹהִ֖ים עָשָׂ֥ה אֹתֹֽו׃ 	single.prep.genitive	יום	JWM/	subs	False	False	True	ב	ב	ב	False	False	False	True	False	False		False	False		False			False		VC	True	qtl	עשׂה
1446819	Gen 5:2	Genesis	prep_ph	בְּיֹ֖ום הִבָּֽרְאָֽם׃ ס 	ב.יום.ברא	וַיִּקְרָ֤א אֶת־שְׁמָם֙ אָדָ֔ם בְּיֹ֖ום 	single.prep.genitive	יום	JWM/	subs	False	False	True	ב	ב	ב	False	False	False	True	False	False		False	False		False			False		VC	True	wyqtl	קרא
1446820	Gen 5:3	Genesis	numb_ph	שְׁלֹשִׁ֤ים וּמְאַת֙ שָׁנָ֔ה 	שׁלשׁ.ו.מאה.שׁנה	וַֽיְחִ֣י אָדָ֗ם שְׁלֹשִׁ֤ים וּמְאַת֙ שָׁנָ֔ה 	single.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁלֹשִׁ֤ים וּמְאַת֙ 	True	False		False			False		VC	True	wyqtl	חיה
1446821	Gen 5:6	Genesis	numb_ph	חָמֵ֥שׁ שָׁנִ֖ים 	חמשׁ.שׁנה	וַֽיְחִי־שֵׁ֕ת חָמֵ֥שׁ שָׁנִ֖ים וּמְאַ֣ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	True	False	False				False	False	True	False	False	True	חָמֵ֥שׁ 	True	False		False			False		VC	True	wyqtl	חיה
1446821	Gen 5:6	Genesis	numb_ph	מְאַ֣ת שָׁנָ֑ה 	מאה.שׁנה	וַֽיְחִי־שֵׁ֕ת חָמֵ֥שׁ שָׁנִ֖ים וּמְאַ֣ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	מְאַ֣ת 	True	False		False			False		VC	True	wyqtl	חיה
1446822	Gen 5:7	Genesis	numb_ph	שֶׁ֣בַע שָׁנִ֔ים 	שׁבע.שׁנה	וַֽיְחִי־שֵׁ֗ת שֶׁ֣בַע שָׁנִ֔ים וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	True	False	False				False	False	True	False	False	True	שֶׁ֣בַע 	True	False		False			False		VC	True	wyqtl	חיה
1446822	Gen 5:7	Genesis	numb_ph	שְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	שׁמנה.מאה.שׁנה	וַֽיְחִי־שֵׁ֗ת שֶׁ֣בַע שָׁנִ֔ים וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁמֹנֶ֥ה מֵאֹ֖ות 	True	False		False			False		VC	True	wyqtl	חיה
1446823	Gen 5:9	Genesis	numb_ph	תִּשְׁעִ֣ים שָׁנָ֑ה 	תשׁע.שׁנה	וַֽיְחִ֥י אֱנֹ֖ושׁ תִּשְׁעִ֣ים שָׁנָ֑ה 	single.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	תִּשְׁעִ֣ים 	True	False		False			False		VC	True	wyqtl	חיה
1446824	Gen 5:10	Genesis	numb_ph	חֲמֵ֤שׁ עֶשְׂרֵה֙ שָׁנָ֔ה 	חמשׁ.עשׂרה.שׁנה	וַֽיְחִ֣י אֱנֹ֗ושׁ חֲמֵ֤שׁ עֶשְׂרֵה֙ שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	חֲמֵ֤שׁ עֶשְׂרֵה֙ 	True	False		False			False		VC	True	wyqtl	חיה
1446824	Gen 5:10	Genesis	numb_ph	שְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	שׁמנה.מאה.שׁנה	וַֽיְחִ֣י אֱנֹ֗ושׁ חֲמֵ֤שׁ עֶשְׂרֵה֙ שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁמֹנֶ֥ה מֵאֹ֖ות 	True	False		False			False		VC	True	wyqtl	חיה
1446825	Gen 5:12	Genesis	numb_ph	שִׁבְעִ֣ים שָׁנָ֑ה 	שׁבע.שׁנה	וַֽיְחִ֥י קֵינָ֖ן שִׁבְעִ֣ים שָׁנָ֑ה 	single.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שִׁבְעִ֣ים 	True	False		False			False		VC	True	wyqtl	חיה
1446826	Gen 5:13	Genesis	numb_ph	אַרְבָּעִ֣ים שָׁנָ֔ה 	ארבע.שׁנה	וַיְחִ֣י קֵינָ֗ן אַרְבָּעִ֣ים שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	אַרְבָּעִ֣ים 	True	False		False			False		VC	True	wyqtl	חיה
1446826	Gen 5:13	Genesis	numb_ph	שְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	שׁמנה.מאה.שׁנה	וַיְחִ֣י קֵינָ֗ן אַרְבָּעִ֣ים שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁמֹנֶ֥ה מֵאֹ֖ות 	True	False		False			False		VC	True	wyqtl	חיה
1446827	Gen 5:15	Genesis	numb_ph	חָמֵ֥שׁ שָׁנִ֖ים 	חמשׁ.שׁנה	וַֽיְחִ֣י מַֽהֲלַלְאֵ֔ל חָמֵ֥שׁ שָׁנִ֖ים וְשִׁשִּׁ֣ים שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	True	False	False				False	False	True	False	False	True	חָמֵ֥שׁ 	True	False		False			False		VC	True	wyqtl	חיה
1446827	Gen 5:15	Genesis	numb_ph	שִׁשִּׁ֣ים שָׁנָ֑ה 	שׁשׁ.שׁנה	וַֽיְחִ֣י מַֽהֲלַלְאֵ֔ל חָמֵ֥שׁ שָׁנִ֖ים וְשִׁשִּׁ֣ים שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שִׁשִּׁ֣ים 	True	False		False			False		VC	True	wyqtl	חיה
1446828	Gen 5:16	Genesis	numb_ph	שְׁלֹשִׁ֣ים שָׁנָ֔ה 	שׁלשׁ.שׁנה	וַֽיְחִ֣י מַֽהֲלַלְאֵ֗ל שְׁלֹשִׁ֣ים שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁלֹשִׁ֣ים 	True	False		False			False		VC	True	wyqtl	חיה
1446828	Gen 5:16	Genesis	numb_ph	שְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	שׁמנה.מאה.שׁנה	וַֽיְחִ֣י מַֽהֲלַלְאֵ֗ל שְׁלֹשִׁ֣ים שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁמֹנֶ֥ה מֵאֹ֖ות 	True	False		False			False		VC	True	wyqtl	חיה
1446829	Gen 5:18	Genesis	numb_ph	שְׁתַּ֧יִם וְשִׁשִּׁ֛ים שָׁנָ֖ה 	שׁנים.ו.שׁשׁ.שׁנה	וַֽיְחִי־יֶ֕רֶד שְׁתַּ֧יִם וְשִׁשִּׁ֛ים שָׁנָ֖ה וּמְאַ֣ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁתַּ֧יִם וְשִׁשִּׁ֛ים 	True	False		False			False		VC	True	wyqtl	חיה
1446829	Gen 5:18	Genesis	numb_ph	מְאַ֣ת שָׁנָ֑ה 	מאה.שׁנה	וַֽיְחִי־יֶ֕רֶד שְׁתַּ֧יִם וְשִׁשִּׁ֛ים שָׁנָ֖ה וּמְאַ֣ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	מְאַ֣ת 	True	False		False			False		VC	True	wyqtl	חיה
1446830	Gen 5:19	Genesis	numb_ph	שְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	שׁמנה.מאה.שׁנה	וַֽיְחִי־יֶ֗רֶד שְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 	single.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁמֹנֶ֥ה מֵאֹ֖ות 	True	False		False			False		VC	True	wyqtl	חיה
1446831	Gen 5:21	Genesis	numb_ph	חָמֵ֥שׁ וְשִׁשִּׁ֖ים שָׁנָ֑ה 	חמשׁ.ו.שׁשׁ.שׁנה	וַֽיְחִ֣י חֲנֹ֔וךְ חָמֵ֥שׁ וְשִׁשִּׁ֖ים שָׁנָ֑ה 	single.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	חָמֵ֥שׁ וְשִׁשִּׁ֖ים 	True	False		False			False		VC	True	wyqtl	חיה
1446832	Gen 5:22	Genesis	numb_ph	שְׁלֹ֥שׁ מֵאֹ֖ות שָׁנָ֑ה 	שׁלשׁ.מאה.שׁנה	וַיִּתְהַלֵּ֨ךְ חֲנֹ֜וךְ אֶת־הָֽאֱלֹהִ֗ים שְׁלֹ֥שׁ מֵאֹ֖ות שָׁנָ֑ה 	single.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁלֹ֥שׁ מֵאֹ֖ות 	True	False		False			False		VC	True	wyqtl	הלך
1446833	Gen 5:25	Genesis	numb_ph	שֶׁ֧בַע וּשְׁמֹנִ֛ים שָׁנָ֖ה 	שׁבע.ו.שׁמנה.שׁנה	וַיְחִ֣י מְתוּשֶׁ֔לַח שֶׁ֧בַע וּשְׁמֹנִ֛ים שָׁנָ֖ה וּמְאַ֣ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שֶׁ֧בַע וּשְׁמֹנִ֛ים 	True	False		False			False		VC	True	wyqtl	חיה
1446833	Gen 5:25	Genesis	numb_ph	מְאַ֣ת שָׁנָ֑ה 	מאה.שׁנה	וַיְחִ֣י מְתוּשֶׁ֔לַח שֶׁ֧בַע וּשְׁמֹנִ֛ים שָׁנָ֖ה וּמְאַ֣ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	מְאַ֣ת 	True	False		False			False		VC	True	wyqtl	חיה
1446834	Gen 5:26	Genesis	numb_ph	שְׁתַּ֤יִם וּשְׁמֹונִים֙ שָׁנָ֔ה 	שׁנים.ו.שׁמנה.שׁנה	וַֽיְחִ֣י מְתוּשֶׁ֗לַח שְׁתַּ֤יִם וּשְׁמֹונִים֙ שָׁנָ֔ה וּשְׁבַ֥ע מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁתַּ֤יִם וּשְׁמֹונִים֙ 	True	False		False			False		VC	True	wyqtl	חיה
1446834	Gen 5:26	Genesis	numb_ph	שְׁבַ֥ע מֵאֹ֖ות שָׁנָ֑ה 	שׁבע.מאה.שׁנה	וַֽיְחִ֣י מְתוּשֶׁ֗לַח שְׁתַּ֤יִם וּשְׁמֹונִים֙ שָׁנָ֔ה וּשְׁבַ֥ע מֵאֹ֖ות שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁבַ֥ע מֵאֹ֖ות 	True	False		False			False		VC	True	wyqtl	חיה
1446835	Gen 5:28	Genesis	numb_ph	שְׁתַּ֧יִם וּשְׁמֹנִ֛ים שָׁנָ֖ה 	שׁנים.ו.שׁמנה.שׁנה	וַֽיְחִי־לֶ֕מֶךְ שְׁתַּ֧יִם וּשְׁמֹנִ֛ים שָׁנָ֖ה וּמְאַ֣ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	שְׁתַּ֧יִם וּשְׁמֹנִ֛ים 	True	False		False			False		VC	True	wyqtl	חיה
1446835	Gen 5:28	Genesis	numb_ph	מְאַ֣ת שָׁנָ֑ה 	מאה.שׁנה	וַֽיְחִי־לֶ֕מֶךְ שְׁתַּ֧יִם וּשְׁמֹנִ֛ים שָׁנָ֖ה וּמְאַ֣ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	מְאַ֣ת 	True	False		False			False		VC	True	wyqtl	חיה
1446836	Gen 5:30	Genesis	numb_ph	חָמֵ֤שׁ וְתִשְׁעִים֙ שָׁנָ֔ה 	חמשׁ.ו.תשׁע.שׁנה	וַֽיְחִי־לֶ֗מֶךְ חָמֵ֤שׁ וְתִשְׁעִים֙ שָׁנָ֔ה וַחֲמֵ֥שׁ מֵאֹ֖ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	חָמֵ֤שׁ וְתִשְׁעִים֙ 	True	False		False			False		VC	True	wyqtl	חיה
1446836	Gen 5:30	Genesis	numb_ph	חֲמֵ֥שׁ מֵאֹ֖ת שָׁנָ֑ה 	חמשׁ.מאה.שׁנה	וַֽיְחִי־לֶ֗מֶךְ חָמֵ֤שׁ וְתִשְׁעִים֙ שָׁנָ֔ה וַחֲמֵ֥שׁ מֵאֹ֖ת שָׁנָ֑ה 	single.component.øanchor.quantified.cardinal	שׁנה	CNH/	subs	False	False	False				False	False	True	False	False	True	חֲמֵ֥שׁ מֵאֹ֖ת 	True	False		False			False		VC	True	wyqtl	חיה
1446837	Gen 6:3	Genesis	prep_ph	לְעֹלָ֔ם 	ל.עולם	לֹֽא־יָדֹ֨ון רוּחִ֤י בָֽאָדָם֙ לְעֹלָ֔ם 	single.prep.bare.øanchor	עולם	<WLM/	subs	False	False	True	ל	ל	ל	False	True	True	False	False	False		False	False		False			False		VC	True	yqtl	דון
1446839	Gen 6:4	Genesis	prep_ph	אַֽחֲרֵי־כֵ֗ן 	אחר.כן	וְגַ֣ם אַֽחֲרֵי־כֵ֗ן 	single.prep.bare.øanchor	כן	KN	advb	False	False	True	אחר	אחר	אחר	False	True	True	False	False	False		False	False		False			False		WP	False		
1446840	Gen 6:5	Genesis	numb_ph	כָּל־הַיֹּֽום׃ 	כל.ה.יום	וְכָל־יֵ֨צֶר֙ מַחְשְׁבֹ֣ת לִבֹּ֔ו רַ֥ק רַ֖ע כָּל־הַיֹּֽום׃ 	single.definite.quantified.qualitative	יום	JWM/	subs	False	False	False				False	False	False	False	True	True	כָּל־	False	True	כל	False			False		NC	False		
1446841	Gen 7:4	Genesis	prep_ph	לְיָמִ֨ים 	ל.יום	כִּי֩ לְיָמִ֨ים עֹ֜וד שִׁבְעָ֗ה אָֽנֹכִי֙ מַמְטִ֣יר עַל־הָאָ֔רֶץ אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָ֑יְלָה 	single.component.prep.øanchor	יום	JWM/	subs	True	False	True	ל	ל	ל	False	False	True	False	False	False		False	False		False			False		VC	True	ptcp	מטר
1446841	Gen 7:4	Genesis	numb_ph	עֹ֜וד שִׁבְעָ֗ה 	עוד.שׁבע	כִּי֩ לְיָמִ֨ים עֹ֜וד שִׁבְעָ֗ה אָֽנֹכִי֙ מַמְטִ֣יר עַל־הָאָ֔רֶץ אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָ֑יְלָה 	single.component.øanchor.quantified.cardinal	עוד	<WD/	subs	False	False	False				False	False	True	False	False	True	שִׁבְעָ֗ה 	True	False		False			False		VC	True	ptcp	מטר
1446842	Gen 7:4	Genesis	numb_ph	אַרְבָּעִ֣ים יֹ֔ום 	ארבע.יום	כִּי֩ לְיָמִ֨ים עֹ֜וד שִׁבְעָ֗ה אָֽנֹכִי֙ מַמְטִ֣יר עַל־הָאָ֔רֶץ אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָ֑יְלָה 	single.component.øanchor.quantified.cardinal	יום	JWM/	subs	False	False	False				False	False	True	False	False	True	אַרְבָּעִ֣ים 	True	False		False			False		VC	True	ptcp	מטר
1446842	Gen 7:4	Genesis	numb_ph	אַרְבָּעִ֖ים לָ֑יְלָה 	ארבע.לילה	כִּי֩ לְיָמִ֨ים עֹ֜וד שִׁבְעָ֗ה אָֽנֹכִי֙ מַמְטִ֣יר עַל־הָאָ֔רֶץ אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָ֑יְלָה 	single.component.øanchor.quantified.cardinal	לילה	LJLH/	subs	False	False	False				False	False	True	False	False	True	אַרְבָּעִ֖ים 	True	False		False			False		VC	True	ptcp	מטר
1446843	Gen 7:10	Genesis	prep_ph	לְשִׁבְעַ֣ת הַיָּמִ֑ים 	ל.שׁבע.ה.יום	וַֽיְהִ֖י לְשִׁבְעַ֣ת הַיָּמִ֑ים 	single.prep.definite.quantified.cardinal	יום	JWM/	subs	True	False	True	ל	ל	ל	False	False	False	False	True	True	שִׁבְעַ֣ת 	True	False		False			False		VC	True	wyqtl	היה
1446844	Gen 7:11	Genesis	prep_ph	בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ 	ב.שׁנה.שׁשׁ.מאה.שׁנה	בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ לְחַיֵּי־נֹ֔חַ בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר יֹ֖ום לַחֹ֑דֶשׁ בַּיֹּ֣ום הַזֶּ֗ה נִבְקְעוּ֙ כָּֽל־מַעְיְנֹת֙ תְּהֹ֣ום רַבָּ֔ה 	single.component.prep.geni_cardinal	שׁנה	CNH/	subs	False	False	True	ב	ב	ב	False	False	False	False	False	False		False	False		False			False		VC	True	qtl	בקע
1446844	Gen 7:11	Genesis	prep_ph	לְחַיֵּי־נֹ֔חַ 	ל.חיים.נח	בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ לְחַיֵּי־נֹ֔חַ בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר יֹ֖ום לַחֹ֑דֶשׁ בַּיֹּ֣ום הַזֶּ֗ה נִבְקְעוּ֙ כָּֽל־מַעְיְנֹת֙ תְּהֹ֣ום רַבָּ֔ה 	single.component.prep.genitive	חיים	XJJM/	subs	True	False	True	ל	ל	ל	False	False	False	True	False	False		False	False		False			False		VC	True	qtl	בקע
1446844	Gen 7:11	Genesis	prep_ph	בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י 	ב.ה.חדשׁ.ה.שׁני	בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ לְחַיֵּי־נֹ֔חַ בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר יֹ֖ום לַחֹ֑דֶשׁ בַּיֹּ֣ום הַזֶּ֗ה נִבְקְעוּ֙ כָּֽל־מַעְיְנֹת֙ תְּהֹ֣ום רַבָּ֔ה 	single.component.prep.definite.def_apposition.ordinal	חדשׁ	XDC=/	subs	False	False	True	ב	ב	ב	False	False	False	False	True	False		False	False		False			True	שׁני	VC	True	qtl	בקע
