,token,(n)heads_token,freq,mark,note,fix,ex_ref,ex,ex_node,ex_verse
179,ב.ה.רביעי,רביעי,1,b,"TP is cleft into 2, so the second part should be included here. It may be possible to isolate these cases by searching for adjacent TP’s; I found 72 other potential cases like this with this <- query logic.",phrase2,Ezekiel 1:1,בָּֽרְבִיעִי֙ ,806721,וַיְהִ֣י׀ בִּשְׁלֹשִׁ֣ים שָׁנָ֗ה בָּֽרְבִיעִי֙ בַּחֲמִשָּׁ֣ה לַחֹ֔דֶשׁ וַאֲנִ֥י בְתֹֽוךְ־הַגֹּולָ֖ה עַל־נְהַר־כְּבָ֑ר נִפְתְּחוּ֙ הַשָּׁמַ֔יִם וָאֶרְאֶ֖ה מַרְאֹ֥ות אֱלֹהִֽים׃ 
189,ב.ה.שׁמים.ו.ב.ה.ארץ,שׁמים.ארץ,1,b,should not be marked as TP,function2,Psalms 113:6,בַּשָּׁמַ֥יִם וּבָאָֽרֶץ׃ ,849296,הַֽמַּשְׁפִּילִ֥י לִרְאֹ֑ות בַּשָּׁמַ֥יִם וּבָאָֽרֶץ׃ 
223,ב.ה.שׁשׁי,שׁשׁי,1,b,cleft TP,phrase2,Ezekiel 8:1,בַּשִּׁשִּׁי֙ ,808602,וַיְהִ֣י׀ בַּשָּׁנָ֣ה הַשִּׁשִּׁ֗ית בַּשִּׁשִּׁי֙ בַּחֲמִשָּׁ֣ה לַחֹ֔דֶשׁ אֲנִי֙ יֹושֵׁ֣ב בְּבֵיתִ֔י וְזִקְנֵ֥י יְהוּדָ֖ה יֹושְׁבִ֣ים לְפָנָ֑י וַתִּפֹּ֤ל עָלַי֙ שָׁ֔ם יַ֖ד אֲדֹנָ֥י יְהֹוִֽה׃ 
226,ב.הר.ציון.ו.ב.ירושׁלם,הר.ירושׁלם,1,b,not a TP,function2,Joel 3:5,בְּהַר־צִיֹּ֨ון וּבִירוּשָׁלִַ֜ם ,825329,וְהָיָ֗ה כֹּ֧ל אֲשֶׁר־יִקְרָ֛א בְּשֵׁ֥ם יְהוָ֖ה יִמָּלֵ֑ט כִּ֠י בְּהַר־צִיֹּ֨ון וּבִירוּשָׁלִַ֜ם תִּֽהְיֶ֣ה פְלֵיטָ֗ה כַּֽאֲשֶׁר֙ אָמַ֣ר יְהוָ֔ה וּבַ֨שְּׂרִידִ֔ים אֲשֶׁ֥ר יְהוָ֖ה קֹרֵֽא׃ 
242,ב.חמשׁה.עשׂר.ל.ה.חדשׁ,חמשׁה,1,b,cleft TP,phrase2,Ezekiel 32:17,בַּחֲמִשָּׁ֥ה עָשָׂ֖ר לַחֹ֑דֶשׁ ,816854,וַֽיְהִי֙ בִּשְׁתֵּ֣י עֶשְׂרֵ֣ה שָׁנָ֔ה בַּחֲמִשָּׁ֥ה עָשָׂ֖ר לַחֹ֑דֶשׁ הָיָ֥ה דְבַר־יְהוָ֖ה אֵלַ֥י לֵאמֹֽר׃ 
374,ב.כל,כל,1,b,cleft TP with missing infiinitive section,define construction,Genesis 30:41,בְּכָל־,661544,וְהָיָ֗ה בְּכָל־יַחֵם֮ הַצֹּ֣אן הַמְקֻשָּׁרֹות֒ וְשָׂ֨ם יַעֲקֹ֧ב אֶת־הַמַּקְלֹ֛ות לְעֵינֵ֥י הַצֹּ֖אן בָּרֳהָטִ֑ים לְיַחְמֵ֖נָּה בַּמַּקְלֹֽות׃ 
401,ב.עוד.לילה,עוד,1,b,"see note on ב.עד.יומם; here עוד is selected instead of לילה, conflicting with the same example that employs יום",head fixed,Proverbs 31:15,בְּעֹ֬וד לַ֗יְלָה ,867410,וַתָּ֤קָם׀ בְּעֹ֬וד לַ֗יְלָה וַתִּתֵּ֣ן טֶ֣רֶף לְבֵיתָ֑הּ וְ֝חֹ֗ק לְנַעֲרֹתֶֽיהָ׃ 
437,ב.רב.ה.ימים,רב,1,b,"the head should be ימים, since רב is a quantifier",head fixed,Ecclesiastes 11:1,בְרֹ֥ב הַיָּמִ֖ים ,872294,שַׁלַּ֥ח לַחְמְךָ֖ עַל־פְּנֵ֣י הַמָּ֑יִם כִּֽי־בְרֹ֥ב הַיָּמִ֖ים תִּמְצָאֶֽנּוּ׃ 
442,ב.שׁבעה.ל.ה.חדשׁ,שׁבעה,1,b,cleft TP,phrase2,Ezekiel 30:20,בְּשִׁבְעָ֣ה לַחֹ֑דֶשׁ ,816353,וַיְהִ֗י בְּאַחַ֤ת עֶשְׂרֵה֙ שָׁנָ֔ה בָּֽרִאשֹׁ֖ון בְּשִׁבְעָ֣ה לַחֹ֑דֶשׁ הָיָ֥ה דְבַר־יְהוָ֖ה אֵלַ֥י לֵאמֹֽר׃ 
445,ב.שׁלושׁה.ו.עשׂרים.בו,שׁלושׁה.עשׂרים,1,b,cleft TP,phrase2,Esther 8:9,בִּשְׁלֹושָׁ֣ה וְעֶשְׂרִים֮ בֹּו֒ ,875709,וַיִּקָּרְא֣וּ סֹפְרֵֽי־הַמֶּ֣לֶךְ בָּֽעֵת־הַ֠הִיא בַּחֹ֨דֶשׁ הַשְּׁלִישִׁ֜י הוּא־חֹ֣דֶשׁ סִיוָ֗ן בִּשְׁלֹושָׁ֣ה וְעֶשְׂרִים֮ בֹּו֒ וַיִּכָּתֵ֣ב כְּֽכָל־אֲשֶׁר־צִוָּ֣ה מָרְדֳּכַ֣י אֶל־הַיְּהוּדִ֡ים וְאֶ֣ל הָאֲחַשְׁדַּרְפְּנִֽים־וְהַפַּחֹות֩ וְשָׂרֵ֨י הַמְּדִינֹ֜ות אֲשֶׁ֣ר׀ מֵהֹ֣דּוּ וְעַד־כּ֗וּשׁ שֶׁ֣בַע וְעֶשְׂרִ֤ים וּמֵאָה֙ מְדִינָ֔ה מְדִינָ֤ה וּמְדִינָה֙ כִּכְתָבָ֔הּ וְעַ֥ם וָעָ֖ם כִּלְשֹׁנֹ֑ו וְאֶ֨ל־הַיְּהוּדִ֔ים כִּכְתָבָ֖ם וְכִלְשֹׁונָֽם׃ 
446,ב.שׁלושׁה.עשׂר.יום.בו,יום,1,b,cleft TP,phrase2,Esther 3:12,בִּשְׁלֹושָׁ֨ה עָשָׂ֣ר יֹום֮ בֹּו֒ ,874640,וַיִּקָּרְאוּ֩ סֹפְרֵ֨י הַמֶּ֜לֶךְ בַּחֹ֣דֶשׁ הָרִאשֹׁ֗ון בִּשְׁלֹושָׁ֨ה עָשָׂ֣ר יֹום֮ בֹּו֒ וַיִּכָּתֵ֣ב כְּֽכָל־אֲשֶׁר־צִוָּ֣ה הָמָ֡ן אֶ֣ל אֲחַשְׁדַּרְפְּנֵֽי־הַ֠מֶּלֶךְ וְֽאֶל־הַפַּחֹ֞ות אֲשֶׁ֣ר׀ עַל־מְדִינָ֣ה וּמְדִינָ֗ה וְאֶל־שָׂ֤רֵי עַם֙ וָעָ֔ם מְדִינָ֤ה וּמְדִינָה֙ כִּכְתָבָ֔הּ וְעַ֥ם וָעָ֖ם כִּלְשֹׁונֹ֑ו בְּשֵׁ֨ם הַמֶּ֤לֶךְ אֲחַשְׁוֵרֹשׁ֙ נִכְתָּ֔ב וְנֶחְתָּ֖ם בְּטַבַּ֥עַת הַמֶּֽלֶךְ׃ 
447,ב.שׁלושׁה.עשׂר.יום.בו.ב.ה.יום,יום,1,b,cleft TP,phrase2,Esther 9:1,בִּשְׁלֹושָׁ֨ה עָשָׂ֥ר יֹום֙ בֹּ֔ו בַּיֹּ֗ום ,875819,וּבִשְׁנֵים֩ עָשָׂ֨ר חֹ֜דֶשׁ הוּא־חֹ֣דֶשׁ אֲדָ֗ר בִּשְׁלֹושָׁ֨ה עָשָׂ֥ר יֹום֙ בֹּ֔ו אֲשֶׁ֨ר הִגִּ֧יעַ דְּבַר־הַמֶּ֛לֶךְ וְדָתֹ֖ו לְהֵעָשֹׂ֑ות בַּיֹּ֗ום אֲשֶׁ֨ר שִׂבְּר֜וּ אֹיְבֵ֤י הַיְּהוּדִים֙ לִשְׁלֹ֣וט בָּהֶ֔ם וְנַהֲפֹ֣וךְ ה֔וּא אֲשֶׁ֨ר יִשְׁלְט֧וּ הַיְּהוּדִ֛ים הֵ֖מָּה בְּשֹׂנְאֵיהֶֽם׃ 
448,ב.שׁלושׁה.עשׂר.ל.חדשׁ.שׁנים.עשׂר,שׁלושׁה,2,b,cleft TP,phrase2,Esther 3:13,בִּשְׁלֹושָׁ֥ה עָשָׂ֛ר לְחֹ֥דֶשׁ שְׁנֵים־עָשָׂ֖ר ,874669,וְנִשְׁלֹ֨וחַ סְפָרִ֜ים בְּיַ֣ד הָרָצִים֮ אֶל־כָּל־מְדִינֹ֣ות הַמֶּלֶךְ֒ לְהַשְׁמִ֡יד לַהֲרֹ֣ג וּלְאַבֵּ֣ד אֶת־כָּל־הַ֠יְּהוּדִים מִנַּ֨עַר וְעַד־זָקֵ֨ן טַ֤ף וְנָשִׁים֙ בְּיֹ֣ום אֶחָ֔ד בִּשְׁלֹושָׁ֥ה עָשָׂ֛ר לְחֹ֥דֶשׁ שְׁנֵים־עָשָׂ֖ר הוּא־חֹ֣דֶשׁ אֲדָ֑ר וּשְׁלָלָ֖ם לָבֹֽוז׃ 
481,ב.שׁנת.חמשׁים.ו.שׁתים.שׁנה.ל.עזריה.מלך.יהודה,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 15:27,בִּשְׁנַ֨ת חֲמִשִּׁ֤ים וּשְׁתַּ֨יִם֙ שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה ,770292,בִּשְׁנַ֨ת חֲמִשִּׁ֤ים וּשְׁתַּ֨יִם֙ שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ פֶּ֣קַח בֶּן־רְמַלְיָ֧הוּ עַל־יִשְׂרָאֵ֛ל בְּשֹׁמְרֹ֖ון עֶשְׂרִ֥ים שָׁנָֽה׃ 
487,ב.שׁנת.עשׂרים.ו.שׁבע.שׁנה.ל.ירבעם.מלך.ישׂראל,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 15:1,בִּשְׁנַ֨ת עֶשְׂרִ֤ים וָשֶׁ֨בַע֙ שָׁנָ֔ה לְיָרָבְעָ֖ם מֶ֣לֶךְ יִשְׂרָאֵ֑ל ,770023,בִּשְׁנַ֨ת עֶשְׂרִ֤ים וָשֶׁ֨בַע֙ שָׁנָ֔ה לְיָרָבְעָ֖ם מֶ֣לֶךְ יִשְׂרָאֵ֑ל מָלַ֛ךְ עֲזַרְיָ֥ה בֶן־אֲמַצְיָ֖ה מֶ֥לֶךְ יְהוּדָֽה׃ 
488,ב.שׁנת.עשׂרים.ו.שׁלשׁ.שׁנה.ל.ה.מלך.יהואשׁ,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 12:7,בִּשְׁנַ֨ת עֶשְׂרִ֧ים וְשָׁלֹ֛שׁ שָׁנָ֖ה לַמֶּ֣לֶךְ יְהֹואָ֑שׁ ,769158,וַיְהִ֗י בִּשְׁנַ֨ת עֶשְׂרִ֧ים וְשָׁלֹ֛שׁ שָׁנָ֖ה לַמֶּ֣לֶךְ יְהֹואָ֑שׁ לֹֽא־חִזְּק֥וּ הַכֹּהֲנִ֖ים אֶת־בֶּ֥דֶק הַבָּֽיִת׃ 
489,ב.שׁנת.עשׂרים.ו.שׁלשׁ.שׁנה.ל.יואשׁ.בן.אחזיהו.מלך.יהודה,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 13:1,בִּשְׁנַ֨ת עֶשְׂרִ֤ים וְשָׁלֹשׁ֙ שָׁנָ֔ה לְיֹואָ֥שׁ בֶּן־אֲחַזְיָ֖הוּ מֶ֣לֶךְ יְהוּדָ֑ה ,769356,בִּשְׁנַ֨ת עֶשְׂרִ֤ים וְשָׁלֹשׁ֙ שָׁנָ֔ה לְיֹואָ֥שׁ בֶּן־אֲחַזְיָ֖הוּ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ יְהֹואָחָ֨ז בֶּן־יֵה֤וּא עַל־יִשְׂרָאֵל֙ בְּשֹׁ֣מְרֹ֔ון שְׁבַ֥ע עֶשְׂרֵ֖ה שָׁנָֽה׃ 
508,ב.שׁנת.שׁלשׁים.ו.שׁבע.שׁנה.ל.יואשׁ.מלך.יהודה,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 13:10,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָשֶׁ֨בַע֙ שָׁנָ֔ה לְיֹואָ֖שׁ מֶ֣לֶךְ יְהוּדָ֑ה ,769459,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָשֶׁ֨בַע֙ שָׁנָ֔ה לְיֹואָ֖שׁ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ יְהֹואָ֨שׁ בֶּן־יְהֹואָחָ֤ז עַל־יִשְׂרָאֵל֙ בְּשֹׁ֣מְרֹ֔ון שֵׁ֥שׁ עֶשְׂרֵ֖ה שָׁנָֽה׃ 
510,ב.שׁנת.שׁלשׁים.ו.שׁמנה.שׁנה.ל.עזריהו.מלך.יהודה,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 15:8,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וּשְׁמֹנֶה֙ שָׁנָ֔ה לַעֲזַרְיָ֖הוּ מֶ֣לֶךְ יְהוּדָ֑ה ,770092,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וּשְׁמֹנֶה֙ שָׁנָ֔ה לַעֲזַרְיָ֖הוּ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ זְכַרְיָ֨הוּ בֶן־יָרָבְעָ֧ם עַל־יִשְׂרָאֵ֛ל בְּשֹׁמְרֹ֖ון שִׁשָּׁ֥ה חֳדָשִֽׁים׃ 
513,ב.שׁנת.שׁלשׁים.ו.תשׁע.שׁנה.ל.עזיה.מלך.יהודה,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 15:13,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָתֵ֨שַׁע֙ שָׁנָ֔ה לְעֻזִיָּ֖ה מֶ֣לֶךְ יְהוּדָ֑ה ,770144,שַׁלּ֤וּם בֶּן־יָבֵישׁ֙ מָלַ֔ךְ בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָתֵ֨שַׁע֙ שָׁנָ֔ה לְעֻזִיָּ֖ה מֶ֣לֶךְ יְהוּדָ֑ה וַיִּמְלֹ֥ךְ יֶֽרַח־יָמִ֖ים בְּשֹׁמְרֹֽון׃ 
514,ב.שׁנת.שׁלשׁים.ו.תשׁע.שׁנה.ל.עזריה.מלך.יהודה,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 15:17,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָתֵ֨שַׁע֙ שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה ,770186,בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָתֵ֨שַׁע֙ שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ מְנַחֵ֨ם בֶּן־גָּדִ֧י עַל־יִשְׂרָאֵ֛ל עֶ֥שֶׂר שָׁנִ֖ים בְּשֹׁמְרֹֽון׃ 
522,ב.שׁנת.שׁשׁ.מאות.שׁנה.ל.חיי.נח,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,Genesis 7:11,בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ לְחַיֵּי־נֹ֔חַ ,653401,בִּשְׁנַ֨ת שֵׁשׁ־מֵאֹ֤ות שָׁנָה֙ לְחַיֵּי־נֹ֔חַ בַּחֹ֨דֶשׁ֙ הַשֵּׁנִ֔י בְּשִׁבְעָֽה־עָשָׂ֥ר יֹ֖ום לַחֹ֑דֶשׁ בַּיֹּ֣ום הַזֶּ֗ה נִבְקְעוּ֙ כָּֽל־מַעְיְנֹת֙ תְּהֹ֣ום רַבָּ֔ה וַאֲרֻבֹּ֥ת הַשָּׁמַ֖יִם נִפְתָּֽחוּ׃ 
531,ב.שׁנת.שׁתים.עשׂרה.שׁנה.ל.יורם.בן.אחאב.מלך.ישׂראל,שׁנת,1,b,"second שנה missed; this would typically be a double-headed TP; but see very next example in 2 Kgs 15:23, which lacks the waw…This issue should be dealt with when the coordination issue is accounted for.",define construction,2_Kings 8:25,בִּשְׁנַת֙ שְׁתֵּים־עֶשְׂרֵ֣ה שָׁנָ֔ה לְיֹורָ֥ם בֶּן־אַחְאָ֖ב מֶ֣לֶךְ יִשְׂרָאֵ֑ל ,767664,בִּשְׁנַת֙ שְׁתֵּים־עֶשְׂרֵ֣ה שָׁנָ֔ה לְיֹורָ֥ם בֶּן־אַחְאָ֖ב מֶ֣לֶךְ יִשְׂרָאֵ֑ל מָלַ֛ךְ אֲחַזְיָ֥הוּ בֶן־יְהֹורָ֖ם מֶ֥לֶךְ יְהוּדָֽה׃ 
536,ב.תחלת,תחלת,1,b,cleft TP with missing infiinitive section,define construction,Amos 7:1,בִּתְחִלַּ֖ת ,826782,כֹּ֤ה הִרְאַ֨נִי֙ אֲדֹנָ֣י יְהוִ֔ה וְהִנֵּה֙ יֹוצֵ֣ר גֹּבַ֔י בִּתְחִלַּ֖ת עֲלֹ֣ות הַלָּ֑קֶשׁ וְהִ֨נֵּה־לֶ֔קֶשׁ אַחַ֖ר גִּזֵּ֥י הַמֶּֽלֶךְ׃ 
559,כ.ב.ה.ראשׁנה,ראשׁנה,1,b,not temporal but adjunctive,function2,Isaiah 1:26,כְּבָרִ֣אשֹׁנָ֔ה ,774349,וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה וְיֹעֲצַ֖יִךְ כְּבַתְּחִלָּ֑ה אַחֲרֵי־כֵ֗ן יִקָּ֤רֵא לָךְ֙ עִ֣יר הַצֶּ֔דֶק קִרְיָ֖ה נֶאֱמָנָֽה׃ 
560,כ.ב.ה.תחלה,תחלה,1,b,not temporal but adjunctive,function2,Isaiah 1:26,כְּבַתְּחִלָּ֑ה ,774352,וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה וְיֹעֲצַ֖יִךְ כְּבַתְּחִלָּ֑ה אַחֲרֵי־כֵ֗ן יִקָּ֤רֵא לָךְ֙ עִ֣יר הַצֶּ֔דֶק קִרְיָ֖ה נֶאֱמָנָֽה׃ 
563,כ.ה.עת,עת,4,b,not temporal but adjunctive,function2,Isaiah 8:23,כָּעֵ֣ת ,775948,כִּ֣י לֹ֣א מוּעָף֮ לַאֲשֶׁ֣ר מוּצָ֣ק לָהּ֒ כָּעֵ֣ת הָרִאשֹׁ֗ון הֵקַ֞ל אַ֤רְצָה זְבֻלוּן֙ וְאַ֣רְצָה נַפְתָּלִ֔י וְהָאַחֲרֹ֖ון הִכְבִּ֑יד דֶּ֤רֶךְ הַיָּם֙ עֵ֣בֶר הַיַּרְדֵּ֔ן גְּלִ֖יל הַגֹּויִֽם׃ 
567,כ.חצת.ה.לילה,חצת,1,b,should be לילה as head; XYWT/ should be added to semi-preps in heads production,head fixed,Exodus 11:4,כַּחֲצֹ֣ת הַלַּ֔יְלָה ,673042,וַיֹּ֣אמֶר מֹשֶׁ֔ה כֹּ֖ה אָמַ֣ר יְהוָ֑ה כַּחֲצֹ֣ת הַלַּ֔יְלָה אֲנִ֥י יֹוצֵ֖א בְּתֹ֥וךְ מִצְרָֽיִם׃ 
569,כ.יום.מדין,יום,1,b,"not temporal but adjunctive; the give-away here may be the fact that יום is followed by an NP. So the CX: [K + JWM + NP] would be comparative or a manner adjunct, not a temporal adjunct. Semantically, what other clues give this alternative classification away?",function2,Isaiah 9:3,כְּיֹ֥ום מִדְיָֽן׃ ,775985,כִּ֣י׀ אֶת־עֹ֣ל סֻבֳּלֹ֗ו וְאֵת֙ מַטֵּ֣ה שִׁכְמֹ֔ו שֵׁ֖בֶט הַנֹּגֵ֣שׂ בֹּ֑ו הַחִתֹּ֖תָ כְּיֹ֥ום מִדְיָֽן׃ 
571,כ.ימות.שׁנות,ימות,1,b,very weird TP division with separation by a single word “clause”. The construction needs to be looked at carefully and possibly a boundary redrawn.,complex,Psalms 90:15,כִּימֹ֣ות שְׁ֝נֹ֗ות ,846434,שַׂ֭מְּחֵנוּ כִּימֹ֣ות עִנִּיתָ֑נוּ שְׁ֝נֹ֗ות רָאִ֥ינוּ רָעָֽה׃ 
579,כ.עת,עת,1,b,cleft TP; What is expressed here? ESV does: in the course of time ,good,2_Chronicles 21:19,כְעֵת֩ ,900048,וַיְהִ֣י לְיָמִ֣ים׀ מִיָּמִ֡ים וּכְעֵת֩ צֵ֨את הַקֵּ֜ץ לְיָמִ֣ים שְׁנַ֗יִם יָצְא֤וּ מֵעָיו֙ עִם־חָלְיֹ֔ו וַיָּ֖מָת בְּתַחֲלֻאִ֣ים רָעִ֑ים וְלֹא־עָ֨שׂוּ לֹ֥ו עַמֹּ֛ו שְׂרֵפָ֖ה כִּשְׂרֵפַ֥ת אֲבֹתָֽיו׃ 
